,character,quote,scene,location,view,episode,date,series,file
28,DATA,"   Yes, sir. A voice only   transmission from the USS   Lantree, a Federation supply   ship.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
29,PICARD,"       Lantree, this is Jean-Luc Picard   of the USS Enterprise. What   is the nature of your emergency?",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
30,,       -- can't hold out any -- dying   -- too many -- help ...    ,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
31,DATA,"   Sir, we are still recieving their   signal. There is simply no   message.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
32,PICARD,       Lantree! Are you under attack?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
33,PICARD,"       USS Lantree, this is the   Enterprise, come in, Lantree.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
34,PICARD,   Replay that last transmission.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
35,,       -- can't hold out any -- dying   -- too many -- help ...    ,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
36,PICARD ,       Counselor?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
37,TROI,   Great stress is all I'm able to   sense.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
38,RIKER,   Have we got a fix on her?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
39,DATA,"   Two point two milli-parsecs,   bearing three-zero at one-four-   five degrees.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
40,PICARD,       Number One?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
41,RIKER,   We better take a look.       What vessel is it?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
42,DATA,"   USS Lantree, a class R Starfleet   supply ship assigned to Gamma   seven seven, Captain L.I. Taleka   commanding. Normal complement,   twenty-six officers and crew.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
43,RIKER,   Armed?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
44,DATA,   Class three defensive only.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
45,RIKER,   Is she still underway?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
46,DATA,   Indeed. She is at maximum speed.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
47,PICARD,   Alter course to intercept.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
48,WESLEY,       Course to intercept.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
49,RIKER,   Execute.       Let's go to Yellow Alert.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
50,WORF,"   Yellow Alert, sir.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
51,RIKER,   Engineering?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
52,GEORDI,   Engineering.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
53,RIKER ,       Give us maximum warp.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
54,GEORDI,"   Maximum warp, sir.       Let's show 'em what we've got.",	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
55,GEORDI ,       Go to the backpanels and give   me a direct reading of the   dilithium temperature spread.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
56,GEORDI,   What happened?,	INT. ENGINE ROOM,ENGINE ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
57,CREWMEMBER,"   My fault, sir. Missed the turn.",	INT. ENGINE ROOM,ENGINE ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
58,GEORDI,       Ensign... maybe you better stay   in the control room.,	INT. ENGINE ROOM,ENGINE ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
59,PICARD,   Open hailing frequencies.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
60,WORF,   Hailing frequencies open.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
61,PICARD,"   Lantree, this is the Enterprise.",	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
62,PICARD ,"   Captain Telaka, this is Picard,   USS Enterprise. Do you read me?",	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
63,DATA,"   No life signs, Captain.",	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
64,PICARD,   Nothing?,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
65,DATA,"   Nothing, sir.",	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
66,WORF,   This could be an ambush.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
67,RIKER,   Force fields up. Arm photon   torpedoes.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
68,WORF,   Force fields up.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
69,CREWMEMBER,   Torpedoes armed and ready.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
70,RIKER,   Red alert.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
71,RIKER ,   What else have we got in the   neighborhood?,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
72,WESLEY,   No other vessels of any kind   within two parsecs.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
73,PICARD,   No battle damage.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
74,DATA,"   All systems seem functional,   Captain. Everything is in perfect   order.",	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
75,PICARD,   And no life signs.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
76,DATA,   No life signs.,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
77,PICARD,"   We're going to have to board her,   Will.",	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
78,RIKER,   The only way we can wind up in   the same starfield is if you   bring us out of warp speed at   precisely the same instant as   the Lantree.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
79,GEORDI,   First I have to get control of   the her engines. Very tricky.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
80,RIKER,   That's why we gave you the job.       Let me know as soon as you're   set.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
81,GEORDI,   Will I be on the away team?,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
82,RIKER,"       Too dangerous for a valuable man   like you.       Fortunately, first officers are   expendable.",	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
83,RIKER ,   Just in case we don't make it   back...       It was a pleasure.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
84,GEORDI,   I'll man the bridge station.   Our first problem is to gain   control of the Lantree's drives.       Come on. You'll get a chance   to see what the bridge is like   on alert.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
85,GEORDI,"   Ready to give it a try, Captain.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
86,GEORDI,   First we have to download the   Starfleet access codes for the   Lantree...    ,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
87,PICARD,       Ensign?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
88,RINA,"   Yes, sir.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
89,PICARD,   Perhaps you'd like to take a look   from down here.    (indicates the area     in front of the     viewscreen),	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
90,RINA,"   Thank you, Captain.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
91,RIKER,"   We're going in amidships   protected by an isolation   forcefield. We'll take one quick   look. Fifteen seconds. If we   don't like what we see, we beam   back immediately.",	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
92,GEORDI ,"       We have a lock on the Lantree,   Commander.",	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
93,RIKER,"       Okay, let's drop out of warp   speed. And see if you can keep   us in the same galaxy.",	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
94,GEORDI ,       Sorry about that. We got as   close as we could.,	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
95,RIKER,"   That's okay, Geordi. What's a   light year among friends?",	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
96,RIKER,"   If it looks secure at first   glance, we'll proceed to the   bridge.       If we find anyone alive, the   medical team will beam over.",	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
97,WORF,   Set phasers for kill.,	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
98,RIKER,   Let's do it.,	INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
99,DATA,"   I have the ship's logs, sir.",	INT. USS LANTREE,USS LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
100,RIKER,   Let's see if anbody's home.,	INT. USS LANTREE,USS LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
101,RIKER,   What is it?,	INT. CORRIDOR,CORRIDOR,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
102,RIKER,   How's the environment?,	INT. SICKBAY,SICKBAY,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
103,DATA,   No abnormal viral or bacterial   forms.,	INT. SICKBAY,SICKBAY,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
104,RIKER,   They were carrying passengers?,	INT. SICKBAY,SICKBAY,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
105,DATA,   He is not a passenger. He is a   crewmember.,	INT. SICKBAY,SICKBAY,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
106,RIKER,   But he's nearly two hundred years   old!,	INT. SICKBAY,SICKBAY,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
107,DATA,   It would seem they all are.,	INT. SICKBAY,SICKBAY,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
108,RIKER,   How old was Captain Telaka?,	INT. CAPTAIN'S QUARTERS,CAPTAIN'S QUARTERS,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
109,DATA,   Thirty-two earth years.,	INT. CAPTAIN'S QUARTERS,CAPTAIN'S QUARTERS,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
110,RIKER,   Enterprise... this is the USS   Lantree.,	INT. LANTREE BRIDGE,LANTREE BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
111,PICARD,       Enterprise here.,	INT. LANTREE BRIDGE,LANTREE BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
112,RIKER,"   Captain, the entire crew has been   wiped out.",	INT. LANTREE BRIDGE,LANTREE BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
113,PICARD,   What happened?,	INT. LANTREE BRIDGE,LANTREE BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
114,RIKER,"   It looks like they were in a   battle with time, and lost.",	INT. LANTREE BRIDGE,LANTREE BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
115,PULASKI ,   Chief medical officer's log.   Extensive autopsies performed   on the crew of the Lantree reveal   a gamut of primary organ failures   as the direct cause of death.,	EXT. SPACE (OPTICAL),SPACE,EXT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
116,PULASKI,"       Transporter Room, we're finished   here. Thanks for your help.",	INT. ENTERPRISE - SICKBAY,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
117,TRANSPORTER COM,"   You're welcome, Doctor.   Energizing now.",	INT. ENTERPRISE - SICKBAY,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
118,PULASKI,       Captain. We've returned the last   of the Lantree crew to their   ship.,	INT. ENTERPRISE - SICKBAY,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
119,PICARD ,"       How soon will you have an autopsy   report, Doctor?",	INT. ENTERPRISE - SICKBAY,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
120,PULASKI,       From everything we can see...   they all died of natural causes.,	INT. ENTERPRISE - SICKBAY,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
121,PICARD,   Natural causes? What in nature   could kill an entire crew at the   same time?,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
122,PULASKI,"   For the record Captain, these   people died of old age.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
123,DATA,"   Sir, according to the Lantree   logs the oldest crew member was   seventy-three, and the mean age   of the crew was thirty-two point   six six.",	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
124,PICARD,   Doctor?,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
125,PULASKI,   Every member of the Lantree crew   had a complete examination at   the beginning of their last duty   cycle just eight weeks ago.       They were in perfect health.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
126,TROI,   Nothing since then? No geriatric   symptoms reported?,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
127,PULASKI,   A single medical entry noting   that the first officer was   treated for Thelusian flu five   days ago.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
128,PICARD,   Thelusian flu?,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
129,PULASKI,"       An exotic, but harmless rhinal   virus. And there was no evidence   of infection in the first   officer's autopsy.",	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
130,RIKER,"   If we don't know what we're   looking for, how can we be   certain the Lantree is safe?",	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
131,PULASKI,   We can't. We'll have to assume   whatever caused this is still   aboard.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
132,PICARD,   Lieutenant Worf. You know what   to do.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
133,WORF,       Sir.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
134,DATA,"   Captain, the Lantree's last port   of call was three days ago. The   Darwin Genetic Research Station   on Gagarin Four.",	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
135,PULASKI,   At the very least they deserve   a warning.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
136,PICARD,       I was thinking of a quarantine.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
137,PULASKI,   I'll consider that possibility.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
138,PICARD,   You'll con --,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
139,PULASKI,   Captain. If Starfleet had wanted   you to make the medical   judgments they wouldn't have   assigned you a medical officer.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
140,PICARD,   Number One. Set course for   Gagarin Four. Warp nine. We'll   depart the moment our security   officer returns.,	INT. CONFERENCE LOUNGE,CONFERENCE LOUNGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
141,WORF,       Codename Firestorm. Access A-D-   three-three-two-four-nine.,	INT. LANTREE - BRIDGE,LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
142,COMPUTER,   Federation security code   recognized. Access confirmed.,	INT. LANTREE - BRIDGE,LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
143,WORF,   Set auto-destruct. Twenty second   delay.,	INT. LANTREE - BRIDGE,LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
144,COMPUTER,   Auto-destruct active. Eighteen   seconds... sixteen seconds...,	INT. LANTREE - BRIDGE,LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
145,WORF,   Energize.,	INT. LANTREE - BRIDGE,LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
146,COMPUTER,   Twelve seconds... ten seconds...,	INT. LANTREE - BRIDGE,LANTREE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
147,TRANSPORTER OPERATOR,       Cutting it a little close weren't   y--?,	INT. ENTERPRISE - TRANSPORTER ROOM,ENTERPRISE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
148,GEORDI,   Find it?,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
149,RINA,   All set. It was the sensor   contact.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
150,GEORDI,       -- sensor contact.       Just like you said it would be.   Let's get it back in the panel   and do a quick line test.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
151,RINA,"   Yes, sir!",	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
152,GEORDI,       Come with me.,	INT. ENGINEERING,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
153,GEORDI,   Running the Engineering Section   is no different than running the   drive system. I've got to keep   everything in balance. To get   maximum efficiency out of --,	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
154,RINA,"   Don't bother, I've heard it all   before. It's not your problem,   anyway. It's me.",	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
155,GEORDI,"   That's right. You've got plenty   of aptitude, but you're   attitude's not makin' it.",	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
156,RINA,   What do you know about my   attitude? How'd you like it if   people always behaved as if   you're some kind of freak?!,	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
157,GEORDI,       What do you think this is? My   ticket to success?,	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
158,RINA,   Wait.       I'm... sorry. Maybe I'm the one   who's blind.,	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
159,GEORDI,   What you are is maybe the most   talented engineer to come out   of the Acadamy since... well   since me. Doing this job's in   your blood. Now all we've got   to do is convince the rest of   'em.       Deal?,	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
160,RINA,       Deal.,	INT. ENGINEERING - EQUIPMENT BAY,ENGINEERING,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
161,PICARD,   Open hailing frequencies.,	INT. BRIDGE,BRIDGE,INT.,Unnatural Selection,1988-11-10,The Next Generation,133.txt
